,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12
w47,0,390.35,390.39,500,1000,1500,2000,2500,3000,,,
w48,0,350.53,350.57,500,1000,1500,2000,2500,3000,,,
w49,0,385.73,385.76,500,1000,1500,2000,,,,,
w50,0,361.55,361.58,500,1000,1500,2000,2500,3000,,,
w51,0,311.87,311.9,500,1000,1500,,,,,,
w52,0,357.36,357.39,500,1000,1500,2000,2500,3000,,,
w53,0,453.24,453.29,500,1000,1500,2000,2500,3000,,,
w54,0,300,336.32,336.36,500,1000,1500,2000,2500,3000,,
w55,0,419.05,419.1,500,1000,1500,2000,2500,3000,,,
w56,0,283.59,283.62,500,1000,1500,2000,2500,3000,,,
w57,0,384.38,384.42,500,1000,1500,,,,,,
w58,0,286.37,286.4,500,1000,1500,2000,2500,3000,,,
w59,0,225,314,672,768,1485,,,,,,
w60,0,68,144,266,450,693,861,1035,,,,
w61,0,60,129,210,348,521,748,792,1027,,,
w62,0,42,86,542,945,,,,,,,
w63,0,35,71,464,1164,,,,,,,
w64,0,74,157,294,505,890,926,1114,,,,
w65,0,114,235,386,577,1279,1507,,,,,
w66,0,58,97,268,651,1725,,,,,,
w67,0,551,716,800,900,1000,1295,1706,,,,
w68,0,66,135,215,308,413,553,756,975,1053,,
w69,0,91,201,397,675,1054,1378,1740,,,,
w70,0,617,800,1345,1513,2880,6765,,,,,
w71,0,16,33,181,1218,,,,,,,
w72,0,128,186,413,1105,1111,,,,,,
w73,0,65,153,252,381,598,884,1112,1392,,,
w74,0,40,69,253,460,926,982,1907,,,,
w75,0,128,262,370,494,647,823,1081,2174,,,
w76,0,138,282,468,705,1027,2297,,,,,
w77,0,86,175,295,469,686,943,1362,,,,
w78,0,136,215,465,541,975,1948,4225,12161,,,
w79,0,189,289,772,894,1479,,,,,,
w80,0,270,370,727,816,1929,,,,,,
w81,0,110,221,1669,,,,,,,,
w82,0,49,105,182,200,283,399,556,725,767,1030,3621
w83,0,51,103,160,225,551,839,,,,,
w84,0,54,120,200,319,579,734,1023,1972,3317,,
w85,0,54,109,590,1100,,,,,,,
w86,0,105,211,1618,,,,,,,,
w87,0,69,141,224,322,439,579,754,760,,,
w88,0,56,112,545,561,,,,,,,
w89,0,37,75,,,,,,,,,
w90,0,64,131,217,1093,,,,,,,
w91,0,184,280,682,897,1646,4485,,,,,
w92,0,31,63,366,1299,,,,,,,
w93,0,40,86,144,195,283,389,515,717,801,1273,
w94,0,28,59,108,166,235,330,404,1145,,,
w95,0,34,71,126,199,292,409,564,772,1346,,
w96,0,112,157,345,690,1891,,,,,,
w97,0,105,168,301,800,860,,,,,,
w98,0,98,116,186,330,757,1149,,,,,
w99,0,63,126,636,801,,,,,,,
w100,0,28,57,361,1701,,,,,,,
w101,0,538,797,976,1300,2920,3650,,,,,
w102,0,61,123,666,1303,,,,,,,
w103,0,11,21,137,712,,,,,,,
w104,0,7,14,22,31,40,50,61,91,700,,
w105,0,1558,2653,2849,2982,3042,,,,,,
w106,0,1450,1633,2466,5096,,,,,,,
w107,0,1228,1268,1418,1690,,,,,,,
w108,0,1135,1441,2538,3980,,,,,,,
w109,0,162,369,2009,2224,3488,4899,,,,,
w110,0,1512,2536,2671,2750,2830,,,,,,
w111,0,1174,1304,1484,,,,,,,,
w112,0,1559,2340,2594,2650,3342,,,,,,
w113,0,465,1333,2169,2317,2445,2596,3100,,,,
w114,0,761,1247,1590,1655,1730,1770,2300,5360,,,
w115,0,32.1,93.2,186.7,316.3,490.2,721.1,1013.4,1371.8,,,
w116,0,113.2,204.1,325.2,479.2,671,902.9,1183.1,1530.7,1926.4,,
w117,0,157,288.5,471.9,708,1003.6,1350,1789.5,2319.6,2943.3,,
w118,0,141.5,247.9,393.9,589.9,832.5,1139.3,1527.6,1983,,,
w119,0,32.1,116.1,243.4,446.8,742.6,1143.2,1667.3,2364.8,3253.6,4397.9,5844.4
w120,0,742.6,1143.2,1667.3,2364.8,3253.6,4397.9,5844.4,,,,
w121,0,340,660,1020,1340,1660,2840,,,,,
w122,0,160,530,850,1140,1420,2620,,,,,
w123,0,270,740,1130,1500,1850,3320,,,,,
w124,0,240,700,1140,1570,1990,3900,,,,,
w125,0,220,680,1070,1470,1830,3510,,,,,
w126,0,370,960,1430,1850,2250,3700,,,,,
w127,0,313.25,313.28,200,1300,1500,2000,2500,3000,,,
w128,0,163.15,163.17,200,1200,1500,2000,2500,3000,,,
w129,0,286.77,286.8,200,1300,1500,2000,2500,3000,,,
w130,0,310.91,310.94,300,1200,1500,2000,2500,3000,,,
w131,0,315.23,315.26,300,1300,1500,2000,2500,3000,,,
w132,0,292.13,292.16,300,1200,1500,2000,2500,3000,,,
w133,0,471.16,471.21,200,1300,1500,2000,2500,3000,,,
w134,0,331.39,331.42,200,1200,1500,2000,2500,3000,,,
w135,0,359.73,359.77,200,1300,1500,2000,2500,3000,,,
w136,0,313.22,313.25,300,1200,1500,2000,2500,3000,,,
w137,0,448.16,448.2,300,1300,1500,2000,2500,3000,,,
w138,0,419.5,419.54,300,1200,1500,2000,2500,3000,,,
w139,0,449.21,449.25,200,1300,1500,2000,2500,3000,,,
w140,0,327.51,327.54,200,1200,1500,,,,,,
w141,0,463.01,463.05,200,1300,1500,2000,2500,3000,,,
w142,0,338.05,338.09,300,1200,1500,,,,,,
w143,0,292.61,292.64,300,1300,1500,2000,2500,3000,,,
w144,0,270.93,270.96,300,1200,1500,2000,2500,3000,,,
w145,0,406.56,406.6,500,1300,1500,2000,2500,3000,,,
w146,0,418.25,418.29,500,1200,1500,2000,2500,3000,,,
w147,0,390.35,390.39,500,1300,1500,2000,2500,3000,,,
w148,0,350.53,350.57,500,1200,1500,2000,2500,3000,,,
w149,0,385.73,385.76,500,1300,1500,2000,,,,,
w150,0,361.55,361.58,500,1200,1500,2000,2500,3000,,,
w151,0,311.87,311.9,500,1300,1500,,,,,,
w152,0,357.36,357.39,500,1200,1500,2000,2500,3000,,,
w153,0,453.24,453.29,500,1300,1500,2000,2500,3000,,,
w154,0,336.32,336.36,500,1200,1500,2000,2500,3000,,,
w155,0,419.05,419.1,500,1300,1500,2000,2500,3000,,,
w156,0,283.59,283.62,500,1200,1500,2000,2500,3000,,,
w157,0,384.38,384.42,500,1300,1500,,,,,,
w158,0,286.37,286.4,500,1200,1500,2000,2500,3000,,,
w159,0,225,314,672,768,1485,,,,,,
w160,0,68,144,266,450,693,861,1035,,,,
w161,0,60,129,210,348,521,748,792,1027,,,
w162,0,42,86,542,945,,,,,,,
w163,0,35,71,464,1164,,,,,,,
w164,0,74,157,294,505,890,926,1114,,,,
w165,0,114,235,386,577,1279,1507,,,,,
w166,0,58,97,268,651,1725,,,,,,
w167,0,551,716,1295,1706,,,,,,,
w168,0,66,135,215,308,413,553,756,975,1053,,
w169,0,91,201,397,675,1054,1378,1740,,,,
w170,0,617,800,1345,1513,2880,6765,,,,,
w171,0,16,33,181,1218,,,,,,,
w172,0,128,186,413,1105,1111,,,,,,
w173,0,65,153,252,381,598,884,1112,1392,,,
w174,0,40,69,253,460,926,982,1907,,,,
w175,0,128,262,370,494,647,823,1081,2174,,,
w176,0,138,282,468,705,1027,2297,,,,,
w177,0,86,175,295,469,686,943,1362,,,,
w178,0,136,215,465,541,975,1948,4225,12161,,,
w179,0,189,289,772,894,1479,,,,,,
w180,0,270,370,727,816,1929,,,,,,
w181,0,110,221,1669,,,,,,,,
w182,0,49,105,182,283,399,556,725,767,1030,3621,
w183,0,51,103,160,225,551,839,,,,,
w184,0,54,120,200,319,579,734,1023,1972,3317,,
w185,0,54,109,590,1100,,,,,,,
w186,0,105,211,1618,,,,,,,,
w187,0,69,141,224,322,439,579,754,760,,,
w188,0,56,112,545,561,,,,,,,
w189,0,37,75,,,,,,,,,
w190,0,64,131,217,1093,,,,,,,
w191,0,184,280,682,897,1646,4485,,,,,
w192,0,31,63,366,1299,,,,,,,
w193,0,40,86,144,195,283,389,515,717,801,1273,
w194,0,28,59,108,166,235,330,404,1145,,,
w195,0,34,71,126,199,292,409,564,772,1346,,
w196,0,112,157,345,690,1891,,,,,,
w197,0,105,168,301,800,860,,,,,,
w198,0,98,116,186,330,757,1149,,,,,
w199,0,63,126,636,801,,,,,,,
w200,0,28,57,361,1701,,,,,,,
